Link;Titulo;Data
https://www.corinthians.com.br/noticias/futebol-masculino-corinthians-encerra-preparacao-para-enfrentar-fluminense;Futebol Masculino: Corinthians encerra preparação para enfrentar Fluminense;18.10.2023 14:00
https://www.corinthians.com.br/noticias/nota-de-pesar-helio-chrispiniano;Nota de pesar  Helio Chrispiniano;18.10.2023 11:44
https://www.corinthians.com.br/noticias/futebol-feminino-corinthians-encerra-preparacao-para-a-semi-contra-o-internacional;Futebol feminino: Corinthians encerra preparação para a semi contra o Internacional;17.10.2023 20:57
https://www.corinthians.com.br/noticias/futebol-masculino-timao-treina-situacoes-de-ataque-e-tatico-de-olho-no-flu;Futebol masculino: Timão treina situações de ataque e tático de olho no Flu;17.10.2023 12:43
https://www.corinthians.com.br/noticias/ingressos-corinthians-x-america-mg-22-10-brasileirao-2023;Ingressos: Corinthians x AméricaMG (22/10) – Brasileirão 2023;16.10.2023 17:27
https://www.corinthians.com.br/noticias/camarotes-neo-quimica-arena-garanta-seu-ingresso-para-corinthians-x-america-mg3;Camarotes Neo Química Arena: garanta seu ingresso para Corinthians x AméricaMG;16.10.2023 16:00
https://www.corinthians.com.br/noticias/futebol-masculino-timao-segue-preparacao-para-encarar-fluminense;Futebol masculino: Timão segue preparação para encarar Fluminense;16.10.2023 12:28
https://www.corinthians.com.br/noticias/futebol-feminino-corinthians-goleia-e-vai-a-semi-da-conmebol-libertadores-feminina;Futebol feminino: Corinthians goleia e vai a semi da CONMEBOL Libertadores Feminina;15.10.2023 21:26
https://www.corinthians.com.br/noticias/futebol-masculino-timao-treina-em-dois-periodos-no-ct;Futebol masculino: Timão treina em dois períodos no CT;14.10.2023 16:30
https://www.corinthians.com.br/noticias/futebol-feminino-brabas-encerram-a-preparacao-para-encarar-o-america-de-cali;Futebol feminino: Brabas encerram a preparação para encarar o América de Cali;14.10.2023 16:23
